,ASX code,Company name,GICs industry group,Listing date,Market Cap
194,ARN.AX,ALDORO RESOURCES LIMITED,Materials,13/09/2018,14786612
195,ARO.AX,ASTRO RESOURCES NL,Materials,14/08/1986,17191633
196,ARR.AX,AMERICAN RARE EARTHS LIMITED,Materials,17/02/2011,60415645
197,ART.AX,AIRTASKER LIMITED,Media & Entertainment,23/03/2021,76577464
198,ARU.AX,ARAFURA RARE EARTHS LTD,Materials,05/11/2003,665709878
199,ARV.AX,ARTEMIS RESOURCES LIMITED,Materials,16/03/2007,21978857
200,ARX.AX,AROA BIOSURGERY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",24/07/2020,315660711
201,AS2.AX,ASKARI METALS LIMITED,Materials,07/07/2021,24067345
202,ASB.AX,AUSTAL LIMITED,Capital Goods,08/12/1998,862611663
203,ASG.AX,AUTOSPORTS GROUP LIMITED.,Consumer Discretionary Distribution & Retail,16/11/2016,402000000
204,ASH.AX,ASHLEY SERVICES GROUP LIMITED,Commercial & Professional Services,21/08/2014,101503012
205,ASM.AX,AUSTRALIAN STRATEGIC MATERIALS LIMITED,Materials,30/07/2020,179208119
206,ASN.AX,ANSON RESOURCES LIMITED,Materials,08/07/2010,205700727
207,ASO.AX,ASTON MINERALS LIMITED,Materials,04/03/2011,90293206
208,ASP.AX,ASPERMONT LIMITED.,Media & Entertainment,27/04/2000,34142692
209,ASQ.AX,AUSTRALIAN SILICA QUARTZ GROUP LTD,Materials,22/10/2007,11266415
210,ASR.AX,ASRA MINERALS LIMITED,Materials,30/06/1986,10276693
211,ASW.AX,ADVANCED SHARE REGISTRY LIMITED,Financial Services,10/06/2008,23208933
212,ASX.AX,ASX LIMITED,Financial Services,14/10/1998,12014515754
213,AT1.AX,ATOMO DIAGNOSTICS LIMITED,Health Care Equipment & Services,16/04/2020,11988711
214,ATA.AX,ATTURRA LIMITED,Software & Services,22/12/2021,211597696
215,ATC.AX,ALTECH BATTERIES LTD,Materials,27/01/2010,125555396
216,ATH.AX,ALTERITY THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",28/03/2000,14639386
217,ATM.AX,ANEKA TAMBANG (PERSERO) TBK (PT),Materials,09/08/1999,5143978556
218,ATP.AX,ATLAS PEARLS LTD,Consumer Durables & Apparel,31/12/1993,16686999
219,ATR.AX,ASTRON CORPORATION LIMITED,Materials,11/11/1983,65453698
220,ATS.AX,AUSTRALIS OIL & GAS LIMITED,Energy,25/07/2016,37835888
221,ATU.AX,ATRUM COAL LIMITED,Materials,24/07/2012,SUSPENDED
222,ATV.AX,ACTIVEPORT GROUP LTD,Software & Services,20/10/2021,32058709
223,ATX.AX,AMPLIA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",23/12/2013,18042515
224,AU1.AX,THE AGENCY GROUP AUSTRALIA LTD,Real Estate Management & Development,18/12/2007,9428685
225,AUA.AX,AUDEARA LIMITED,Consumer Durables & Apparel,18/05/2021,7021700
226,AUB.AX,AUB GROUP LIMITED,Insurance,16/11/2005,3122081856
227,AUC.AX,AUSGOLD LIMITED,Materials,16/12/2009,110214778
228,AUE.AX,AURUM RESOURCES LIMITED,Materials,02/11/2021,4650000
229,AUG.AX,AUGUSTUS MINERALS LIMITED,Materials,25/05/2023,36073125
230,AUH.AX,AUSTCHINA HOLDINGS LIMITED,Energy,17/03/2003,8311535
231,AUI.AX,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,Not Applic,01/01/1974,1236731667
232,AUK.AX,AUMAKE LIMITED.,Consumer Discretionary Distribution & Retail,07/12/2011,4461778
233,AUN.AX,AURUMIN LIMITED,Materials,09/12/2020,7128406
234,AUQ.AX,ALARA RESOURCES LIMITED,Materials,24/05/2007,20106451
235,AUR.AX,AURIS MINERALS LIMITED,Materials,15/03/2001,6196137
236,AUT.AX,AUTECO MINERALS LTD,Materials,21/09/2005,60133744
237,AUZ.AX,AUSTRALIAN MINES LIMITED,Materials,28/09/2001,9057336
238,AV1.AX,ADVERITAS LIMITED,Software & Services,18/12/2012,27164735
239,AVA.AX,AVA RISK GROUP LIMITED,Technology Hardware & Equipment,11/05/2015,52360000
240,AVC.AX,AUCTUS INVESTMENT GROUP LIMITED,Financial Services,10/08/2011,66922265
241,AVD.AX,AVADA GROUP LIMITED,Commercial & Professional Services,17/12/2021,54951269
242,AVE.AX,AVECHO BIOTECHNOLOGY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",09/08/1993,10810796
243,AVG.AX,AUSTRALIAN VINTAGE LTD,"Food, Beverage & Tobacco",26/03/1992,103581779
244,AVH.AX,AVITA MEDICAL INC.,"Pharmaceuticals, Biotechnology & Life Sciences",24/06/2020,588923918
245,AVJ.AX,AVJENNINGS LIMITED,Consumer Durables & Apparel,27/01/1994,162461383
246,AVL.AX,AUSTRALIAN VANADIUM LIMITED,Materials,21/02/2007,144042069
247,AVM.AX,ADVANCE METALS LIMITED,Materials,20/12/2007,3531352
248,AVR.AX,ANTERIS TECHNOLOGIES LTD,Health Care Equipment & Services,24/03/2004,329773608
249,AVW.AX,AVIRA RESOURCES LTD,Materials,09/01/2013,4267580
250,AVZ.AX,AVZ MINERALS LIMITED,Materials,14/09/2007,SUSPENDED
251,AW1.AX,AMERICAN WEST METALS LIMITED,Materials,13/12/2021,38926394
252,AWC.AX,ALUMINA LIMITED,Materials,31/10/1961,3989811948
253,AWJ.AX,AURIC MINING LIMITED,Materials,12/02/2021,6019541
254,AX1.AX,ACCENT GROUP LIMITED,Consumer Discretionary Distribution & Retail,07/07/2004,864599834
255,AX8.AX,ACCELERATE RESOURCES LIMITED,Materials,14/02/2018,7592035
256,AXE.AX,ARCHER MATERIALS LIMITED,Semiconductors & Semiconductor Equipment,14/08/2007,177118674
257,AXI.AX,AXIOM PROPERTIES LIMITED,Real Estate Management & Development,31/01/1997,21635683
258,AXN.AX,ALLIANCE NICKEL LIMITED,Materials,21/08/1980,64892672
259,AXP.AX,AXP ENERGY LIMITED,Energy,20/07/2006,8737021
260,AYA.AX,ARTRYA LIMITED,Health Care Equipment & Services,26/11/2021,14922409
261,AYI.AX,A1 INVESTMENTS & RESOURCES LTD,Financial Services,02/10/2007,20527433
262,AYM.AX,AUSTRALIA UNITED MINING LIMITED,Materials,19/09/2011,5527732
263,AYT.AX,AUSTIN METALS LIMITED,Materials,06/07/2011,4063499
264,AZI.AX,ALTAMIN LIMITED,Materials,24/12/2009,28595323
265,AZJ.AX,AURIZON HOLDINGS LIMITED,Transportation,22/11/2010,7178745530
266,AZL.AX,ARIZONA LITHIUM LIMITED,Materials,08/07/1971,101738038
267,AZS.AX,AZURE MINERALS LIMITED,Materials,16/12/2003,519013976
268,AZY.AX,ANTIPA MINERALS LIMITED,Materials,20/04/2011,50358721
269,B4P.AX,BEFOREPAY GROUP LIMITED,Financial Services,17/01/2022,18591953
270,BAP.AX,BAPCOR LIMITED,Consumer Discretionary Distribution & Retail,24/04/2014,2026292625
271,BAS.AX,BASS OIL LIMITED,Energy,30/09/2004,21203161
